Date,GOOGL,TSLA,AAL
2018-01-02,1073.2099609375,64.10600280761719,52.9900016784668
2018-01-03,1091.52001953125,63.45000076293945,52.34000015258789
2018-01-04,1095.760009765625,62.92399978637695,52.66999816894531
2018-01-05,1110.2900390625,63.316001892089844,52.650001525878906
2018-01-08,1114.2099609375,67.28199768066406,52.130001068115234
2018-01-09,1112.7900390625,66.73799896240234,52.08000183105469
2018-01-10,1110.1400146484375,66.95999908447266,53.779998779296875
2018-01-11,1112.050048828125,67.58999633789062,56.41999816894531
2018-01-12,1130.6500244140625,67.24400329589844,58.470001220703125
2018-01-16,1130.699951171875,68.01200103759766,57.97999954223633
2018-01-17,1139.0999755859375,69.43199920654297,58.15999984741211
2018-01-18,1135.969970703125,68.91400146484375,58.34000015258789
2018-01-19,1143.5,70.00399780273438,58.060001373291016
2018-01-22,1164.1600341796875,70.31199645996094,58.099998474121094
2018-01-23,1176.1700439453125,70.55799865722656,58.290000915527344
2018-01-24,1171.2900390625,69.1780014038086,54.790000915527344
2018-01-25,1182.1400146484375,67.52799987792969,53.04999923706055
2018-01-26,1187.56005859375,68.56999969482422,53.06999969482422
2018-01-29,1186.47998046875,69.90599822998047,52.68000030517578
2018-01-30,1177.3699951171875,69.16400146484375,52.59000015258789
2018-01-31,1182.219970703125,70.86199951171875,54.31999969482422
2018-02-01,1181.5899658203125,69.8499984741211,53.880001068115234
2018-02-02,1119.199951171875,68.75,52.099998474121094
2018-02-05,1062.3900146484375,66.6259994506836,49.7599983215332
2018-02-06,1084.4300537109375,66.79399871826172,51.18000030517578
2018-02-07,1055.4100341796875,69.0,51.400001525878906
2018-02-08,1007.7100219726562,63.04600143432617,48.599998474121094
2018-02-09,1046.27001953125,62.08399963378906,48.36000061035156
2018-02-12,1054.56005859375,63.145999908447266,50.09000015258789
2018-02-13,1054.1400146484375,64.73200225830078,50.869998931884766
2018-02-14,1072.699951171875,64.46199798583984,51.06999969482422
2018-02-15,1091.3599853515625,66.81400299072266,51.66999816894531
2018-02-16,1095.5,67.0979995727539,51.58000183105469
2018-02-20,1103.5899658203125,66.9540023803711,51.720001220703125
2018-02-21,1113.75,66.66000366210938,52.779998779296875
2018-02-22,1109.9000244140625,69.23400115966797,52.97999954223633
2018-02-23,1128.0899658203125,70.41000366210938,53.38999938964844
2018-02-26,1143.699951171875,71.48400115966797,55.0
2018-02-27,1117.510009765625,70.197998046875,54.2599983215332
2018-02-28,1103.9200439453125,68.61199951171875,54.25
2018-03-01,1071.4100341796875,66.18599700927734,53.47999954223633
2018-03-02,1084.1400146484375,67.02400207519531,53.18000030517578
2018-03-05,1094.760009765625,66.66999816894531,53.189998626708984
2018-03-06,1100.9000244140625,65.63999938964844,53.56999969482422
2018-03-07,1115.0400390625,66.45999908447266,54.11000061035156
2018-03-08,1129.3800048828125,65.81999969482422,54.790000915527344
2018-03-09,1160.8399658203125,65.43399810791016,56.06999969482422
2018-03-12,1165.9300537109375,69.10199737548828,56.5
2018-03-13,1139.9100341796875,68.36799621582031,56.22999954223633
2018-03-14,1148.8900146484375,65.32599639892578,55.279998779296875
2018-03-15,1150.6099853515625,65.12000274658203,55.16999816894531
2018-03-16,1134.4200439453125,64.2699966430664,55.400001525878906
2018-03-19,1100.0699462890625,62.71200180053711,54.619998931884766
2018-03-20,1095.800048828125,62.11000061035156,55.31999969482422
2018-03-21,1094.0,63.305999755859375,54.09000015258789
2018-03-22,1053.1500244140625,61.81999969482422,52.310001373291016
2018-03-23,1026.550048828125,60.30799865722656,51.0099983215332
2018-03-26,1054.0899658203125,60.83599853515625,51.86000061035156
2018-03-27,1006.9400024414062,55.83599853515625,50.900001525878906
2018-03-28,1005.1799926757812,51.555999755859375,50.849998474121094
2018-03-29,1037.1400146484375,53.22600173950195,51.959999084472656
2018-04-02,1012.6300048828125,50.49599838256836,49.779998779296875
2018-04-03,1018.6799926757812,53.50600051879883,51.470001220703125
2018-04-04,1029.7099609375,57.38800048828125,52.040000915527344
2018-04-05,1032.6400146484375,61.14400100708008,52.13999938964844
2018-04-06,1009.9500122070312,59.86000061035156,50.290000915527344
2018-04-09,1020.0900268554688,57.93199920654297,49.81999969482422
2018-04-10,1036.5,60.939998626708984,47.459999084472656
2018-04-11,1025.06005859375,60.18600082397461,45.400001525878906
2018-04-12,1037.2900390625,58.816001892089844,46.56999969482422
2018-04-13,1036.0400390625,60.06800079345703,45.869998931884766
2018-04-16,1046.0999755859375,58.242000579833984,46.400001525878906
2018-04-17,1079.3599853515625,57.53799819946289,45.75
2018-04-18,1075.3900146484375,58.66999816894531,47.7599983215332
2018-04-19,1089.449951171875,60.01599884033203,46.880001068115234
2018-04-20,1077.3199462890625,58.04800033569336,46.779998779296875
2018-04-23,1073.81005859375,56.67399978637695,46.68000030517578
2018-04-24,1022.6400146484375,56.69200134277344,45.689998626708984
2018-04-25,1022.989990234375,56.13800048828125,45.25
2018-04-26,1043.31005859375,57.09600067138672,42.369998931884766
2018-04-27,1031.449951171875,58.816001892089844,43.400001525878906
2018-04-30,1018.5800170898438,58.779998779296875,42.93000030517578
2018-05-01,1040.75,59.98400115966797,43.36000061035156
2018-05-02,1026.050048828125,60.22999954223633,42.2400016784668
2018-05-03,1026.300048828125,56.88999938964844,42.11000061035156
2018-05-04,1051.0,58.81800079345703,42.86000061035156
2018-05-07,1059.4599609375,60.55400085449219,42.439998626708984
2018-05-08,1058.5899658203125,60.39400100708008,43.0
2018-05-09,1088.949951171875,61.369998931884766,41.5
2018-05-10,1105.469970703125,61.00400161743164,42.040000915527344
